CODMES;CLIENTE;CLIENTE;NUMBANCOS;EDAD;BCOTCMAX;GENERO
201912;90;PROFESIONAL INDEPENDIENTE;2;27;BCP;M
201912;91;DEPENDIENTE;1;30;IBK;M
201912;92;DEPENDIENTE;1;43;IBK;M
201912;93;NO LABORA;1;25;IBK;F
201912;94;DEPENDIENTE;1;26;IBK;M
201912;95;INFORMAL;1;24;IBK;M
201912;96;INFORMAL;2;28;FALABELLA;F
201912;97;INFORMAL;1;35;BBVA;M
201912;98;PROFESIONAL INDEPENDIENTE;3;33;RIPLEY;F
201912;99;PROFESIONAL INDEPENDIENTE;1;25;IBK;M
201912;100;DEPENDIENTE;3;43;CREDISCOTIA;M
201912;101;INFORMAL;4;31;FALABELLA;F
201912;102;DEPENDIENTE;1;43;IBK;F
201912;103;INFORMAL;4;31;CENCOSUD;M
201912;104;DEPENDIENTE;1;24;IBK;F
201912;105;DEPENDIENTE;1;43;IBK;M
201912;106;INFORMAL;1;29;IBK;M
201912;107;INFORMAL;2;30;BCP;M
201912;108;DEPENDIENTE;1;35;IBK;M
201912;109;DEPENDIENTE;2;43;SCOTIA;F
201912;110;DEPENDIENTE;1;28;FINANC_UNO;M
201912;111;DEPENDIENTE;1;40;IBK;M
201912;112;DEPENDIENTE;2;31;FINANC_UNO;F
201912;113;INFORMAL;5;61;BCP;M
201912;114;DEPENDIENTE;1;59;IBK;F
201912;115;DEPENDIENTE;2;31;FALABELLA;F
201912;116;DEPENDIENTE;2;26;BCP;M
201912;117;INFORMAL;1;51;IBK;F
201912;118;INFORMAL;4;51;FINANC_UNO;M
201912;119;INFORMAL;2;28;BCP;M
201912;120;DEPENDIENTE;1;30;IBK;M
201912;121;PROFESIONAL INDEPENDIENTE;2;25;FALABELLA;F
201912;122;INFORMAL;1;42;IBK;M
201912;123;PROFESIONAL INDEPENDIENTE;2;26;BCP;F
201912;124;DEPENDIENTE;1;25;IBK;F
201912;125;INFORMAL;1;47;FALABELLA;F
201912;126;PROFESIONAL INDEPENDIENTE;4;38;FALABELLA;M
201912;127;DEPENDIENTE;2;70;FINANC_UNO;M
201912;128;PROFESIONAL INDEPENDIENTE;1;22;BCP;M
201912;129;DEPENDIENTE;1;36;SCOTIA;M
201912;130;DEPENDIENTE;1;35;IBK;M
201912;131;PROFESIONAL INDEPENDIENTE;1;23;BCP;F
201912;132;INFORMAL;4;58;CREDISCOTIA;F
201912;133;INFORMAL;4;42;IBK;M
201912;134;DEPENDIENTE;4;28;BCP;M
201912;135;DEPENDIENTE;1;21;IBK;F
201912;136;PROFESIONAL INDEPENDIENTE;4;32;BBVA;M
201912;137;INFORMAL;1;22;IBK;M
201912;138;DEPENDIENTE;1;45;SCOTIA;M
201912;139;DEPENDIENTE;2;23;IBK;F
201912;140;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;62;BIF;M
201912;141;INFORMAL;1;24;IBK;F
201912;142;PROFESIONAL INDEPENDIENTE;3;32;SCOTIA;M
201912;143;DEPENDIENTE;4;48;BCP;M
201912;144;JUBILADO;3;68;IBK;F
201912;145;DEPENDIENTE;1;44;IBK;M
201912;146;DEPENDIENTE;1;27;IBK;F
201912;147;DEPENDIENTE;2;38;FALABELLA;F
201912;148;PROFESIONAL INDEPENDIENTE;1;34;BBVA;M
201912;149;PROFESIONAL INDEPENDIENTE;2;24;FALABELLA;M
201912;150;DEPENDIENTE;3;49;BBVA;M
201912;151;INFORMAL;2;46;FINANC_UNO;F
201912;152;DEPENDIENTE;1;42;SCOTIA;M
201912;153;INFORMAL;2;56;CENCOSUD;M
201912;154;DEPENDIENTE;1;29;IBK;M
201912;155;PROFESIONAL INDEPENDIENTE;4;25;BBVA;F
201912;156;DEPENDIENTE;1;38;IBK;F
201912;157;PROFESIONAL INDEPENDIENTE;1;64;IBK;M
201912;158;INFORMAL;3;24;FALABELLA;F
201912;159;DEPENDIENTE;2;40;BCP;M
201912;160;INFORMAL;1;37;IBK;F
201912;161;INFORMAL;2;58;FINANC_UNO;M
201912;162;PROFESIONAL INDEPENDIENTE;1;46;IBK;F
201912;163;INFORMAL;1;56;IBK;F
201912;164;INFORMAL;2;33;FINANC_UNO;M
201912;165;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;56;CENCOSUD;F
201912;166;INFORMAL;2;23;CENCOSUD;M
201912;167;DEPENDIENTE;3;34;FINANC_UNO;M
201912;168;INFORMAL;2;39;BBVA;M
201912;169;INFORMAL;3;71;FINANC_UNO;F
201912;170;PROFESIONAL INDEPENDIENTE;2;33;SCOTIA;M
201912;171;DEPENDIENTE;2;62;SCOTIA;F
201912;172;INFORMAL;1;33;IBK;M
201912;173;INFORMAL;3;44;FALABELLA;F
201912;174;INFORMAL;1;25;IBK;M
201912;175;INFORMAL;3;54;IBK;F
201912;176;PROFESIONAL INDEPENDIENTE;1;23;IBK;F
201912;177;DEPENDIENTE;2;27;FINANCIERO;M
201912;178;INFORMAL;1;46;IBK;F
201912;179;INFORMAL;1;37;BCP;F
201912;180;DEPENDIENTE;2;60;CENCOSUD;M
201912;181;INFORMAL;1;35;FINANC_UNO;M
201912;182;INFORMAL;1;64;SCOTIA;F
201912;183;DEPENDIENTE;1;42;IBK;F
201912;184;INFORMAL;1;42;IBK;F
201912;185;PROFESIONAL INDEPENDIENTE;2;39;FALABELLA;M
201912;186;INFORMAL;3;65;SCOTIA;M
201912;187;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;24;IBK;M
201912;188;INFORMAL;2;65;FALABELLA;F
201912;189;DEPENDIENTE;3;58;CREDISCOTIA;M
201912;190;INFORMAL;2;36;FINANC_UNO;F
201912;191;PROFESIONAL INDEPENDIENTE;2;26;BCP;M
201912;192;INFORMAL;1;59;IBK;F
201912;193;DEPENDIENTE;1;59;IBK;M
201912;194;INFORMAL;2;23;IBK;M
201912;195;INFORMAL;2;23;FINANC_UNO;M
201912;196;DEPENDIENTE;2;32;BBVA;M
201912;197;INFORMAL;1;48;IBK;M
201912;198;DEPENDIENTE;4;45;FINANC_UNO;M
201912;199;DEPENDIENTE;1;23;IBK;M
201912;200;PROFESIONAL INDEPENDIENTE;3;28;CREDISCOTIA;M
201912;201;INFORMAL;1;40;IBK;M
201912;202;PROFESIONAL INDEPENDIENTE;1;46;IBK;F
201912;203;DEPENDIENTE;5;42;CENCOSUD;M
201912;204;INFORMAL;4;25;BCP;M
201912;205;INFORMAL;1;66;IBK;M
201912;206;INFORMAL;1;31;BCP;M
201912;207;DEPENDIENTE;2;29;FINANC_UNO;F
201912;208;INFORMAL;1;51;IBK;F
201912;209;INFORMAL;2;49;BCP;M
201912;210;DEPENDIENTE;1;33;IBK;M
201912;211;INFORMAL;1;49;IBK;M
201912;212;INFORMAL;2;55;FINANC_UNO;F
201912;213;DEPENDIENTE;1;23;IBK;F
201912;214;DEPENDIENTE;2;27;BCP;M
201912;215;INFORMAL;3;61;FINANC_UNO;M
201912;216;PROFESIONAL INDEPENDIENTE;1;33;IBK;F
201912;217;DEPENDIENTE;2;40;BCP;M
201912;218;INFORMAL;1;38;IBK;M
201912;219;INFORMAL;1;57;IBK;M
201912;220;INFORMAL;1;41;IBK;M
201912;221;DEPENDIENTE;2;56;CREDISCOTIA;M
201912;222;INFORMAL;2;27;IBK;F
201912;223;DEPENDIENTE;2;35;BCP;M
201912;224;DEPENDIENTE;1;26;BCP;M
201912;225;PROFESIONAL INDEPENDIENTE;1;42;IBK;M
201912;226;INFORMAL;1;30;IBK;M
201912;227;DEPENDIENTE;2;24;IBK;F
201912;228;DEPENDIENTE;1;42;FINANC_UNO;F
201912;229;DEPENDIENTE;1;30;FALABELLA;F
201912;230;DEPENDIENTE;1;27;IBK;F
201912;231;PROFESIONAL INDEPENDIENTE;1;22;FALABELLA;F
201912;232;INFORMAL;1;60;IBK;F
201912;233;JUBILADO;3;36;FALABELLA;M
201912;234;DEPENDIENTE;2;45;FINANC_UNO;F
201912;235;PROFESIONAL INDEPENDIENTE;1;48;CENCOSUD;M
201912;236;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;37;IBK;M
201912;237;INFORMAL;2;51;IBK;M
201912;238;INFORMAL;1;38;IBK;F
201912;239;DEPENDIENTE;1;36;IBK;M
201912;240;DEPENDIENTE;1;31;FINANC_UNO;M
201912;241;DEPENDIENTE;1;48;IBK;M
201912;242;INFORMAL;4;60;FINANC_UNO;M
201912;243;INFORMAL;1;63;IBK;F
201912;244;DEPENDIENTE;4;42;FALABELLA;F
201912;245;INFORMAL;1;40;IBK;M
201912;246;DEPENDIENTE;1;25;IBK;M
201912;247;INFORMAL;1;27;IBK;F
201912;248;INFORMAL;4;26;CENCOSUD;F
201912;249;DEPENDIENTE;1;41;IBK;M
201912;250;INFORMAL;1;68;IBK;F
201912;251;INFORMAL;1;30;IBK;F
201912;252;PROFESIONAL INDEPENDIENTE;2;43;FINANC_UNO;M
201912;253;DEPENDIENTE;3;33;BBVA;F
201912;254;DEPENDIENTE;1;26;IBK;M
201912;255;INFORMAL;1;32;FALABELLA;M
201912;256;DEPENDIENTE;1;49;IBK;M
201912;257;DEPENDIENTE;1;49;FINANC_UNO;M
201912;258;PROFESIONAL INDEPENDIENTE;1;43;IBK;M
201912;259;PROFESIONAL INDEPENDIENTE;1;38;IBK;M
201912;260;DEPENDIENTE;1;27;IBK;F
201912;261;DEPENDIENTE;1;25;IBK;M
201912;262;DEPENDIENTE;1;28;IBK;M
201912;263;PROFESIONAL INDEPENDIENTE;2;56;FALABELLA;M
201912;264;INFORMAL;2;39;AZTECA;M
201912;265;INFORMAL;1;42;IBK;M
201912;266;INFORMAL;2;24;FALABELLA;M
201912;267;MICROEMPRESARIO FORMAL - INDEPENDIENTE;3;29;IBK;M
201912;268;INFORMAL;1;21;IBK;F
201912;269;DEPENDIENTE;1;29;IBK;M
201912;270;DEPENDIENTE;1;28;IBK;F
201912;271;INFORMAL;1;23;IBK;M
201912;272;DEPENDIENTE;3;27;FALABELLA;F
201912;273;INFORMAL;2;47;FINANC_UNO;F
201912;274;DEPENDIENTE;1;43;BCP;M
201912;275;DEPENDIENTE;3;27;CREDISCOTIA;M
201912;276;INFORMAL;1;26;IBK;F
201912;277;INFORMAL;1;55;IBK;F
201912;278;INFORMAL;4;35;RIPLEY;F
201912;279;INFORMAL;1;25;IBK;M
201912;280;INFORMAL;2;57;FINANC_UNO;F
201912;281;PROFESIONAL INDEPENDIENTE;4;48;CENCOSUD;M
201912;282;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;40;IBK;M
201912;283;DEPENDIENTE;3;35;CENCOSUD;F
201912;284;DEPENDIENTE;1;31;IBK;F
201912;285;DEPENDIENTE;1;44;BCP;M
201912;286;DEPENDIENTE;2;44;IBK;M
201912;287;DEPENDIENTE;2;42;IBK;M
201912;288;DEPENDIENTE;4;31;SCOTIA;M
201912;289;DEPENDIENTE;2;45;IBK;F
201912;290;INFORMAL;3;35;CENCOSUD;M
201912;291;PROFESIONAL INDEPENDIENTE;3;38;BCP;M
201912;292;INFORMAL;1;41;IBK;M
201912;293;DEPENDIENTE;2;26;IBK;F
201912;294;INFORMAL;3;30;FALABELLA;F
201912;295;INFORMAL;3;47;IBK;F
201912;296;INFORMAL;1;42;IBK;F
201912;297;DEPENDIENTE;1;24;SCOTIA;F
201912;298;DEPENDIENTE;1;28;BCP;F
201912;299;INFORMAL;2;50;RIPLEY;F
201912;300;DEPENDIENTE;4;40;BCP;M
201912;301;INFORMAL;1;25;IBK;F
201912;302;DEPENDIENTE;1;47;IBK;M
201912;303;DEPENDIENTE;2;24;BIF;M
201912;304;INFORMAL;2;55;RIPLEY;F
201912;305;DEPENDIENTE;2;23;IBK;M
201912;306;INFORMAL;2;26;CENCOSUD;F
201912;307;DEPENDIENTE;1;39;IBK;F
201912;308;PROFESIONAL INDEPENDIENTE;1;51;IBK;F
201912;309;INFORMAL;2;32;FALABELLA;M
201912;310;DEPENDIENTE;1;24;IBK;M
201912;311;INFORMAL;1;26;FALABELLA;F
201912;312;INFORMAL;3;30;FINANC_UNO;F
201912;313;PROFESIONAL INDEPENDIENTE;1;23;IBK;F
201912;314;PROFESIONAL INDEPENDIENTE;1;22;BCP;F
201912;315;RENTISTA 1 CATEGORIA;3;43;FALABELLA;F
201912;316;INFORMAL;3;22;FALABELLA;F
201912;317;INFORMAL;3;41;RIPLEY;M
201912;318;INFORMAL;1;26;IBK;M
201912;319;INFORMAL;1;31;IBK;M
201912;320;INFORMAL;2;47;BCP;M
201912;321;INFORMAL;1;49;IBK;M
201912;322;INFORMAL;1;48;IBK;F
201912;323;DEPENDIENTE;3;53;SCOTIA;M
201912;324;INFORMAL;3;41;FINANCIERO;F
201912;325;DEPENDIENTE;2;25;IBK;M
201912;326;DEPENDIENTE;3;31;FINANC_UNO;M
201912;327;DEPENDIENTE;2;29;IBK;F
201912;328;DEPENDIENTE;1;41;IBK;F
201912;329;PROFESIONAL INDEPENDIENTE;1;23;AZTECA;M
201912;330;DEPENDIENTE;3;25;FALABELLA;F
201912;331;INFORMAL;1;25;IBK;M
201912;332;INFORMAL;3;48;FINANC_UNO;F
201912;333;INFORMAL;1;37;FALABELLA;F
201912;334;INFORMAL;4;40;BCP;F
201912;335;INFORMAL;1;37;IBK;F
201912;336;PROFESIONAL INDEPENDIENTE;1;28;CENCOSUD;F
201912;337;INFORMAL;1;63;IBK;F
201912;338;INFORMAL;1;31;SCOTIA;M
201912;339;DEPENDIENTE;1;31;IBK;F
201912;340;PROFESIONAL INDEPENDIENTE;1;26;BBVA;M
201912;341;DEPENDIENTE;1;35;IBK;F
201912;342;DEPENDIENTE;1;37;IBK;F
201912;343;DEPENDIENTE;3;25;BCP;F
201912;344;DEPENDIENTE;1;55;IBK;M
201912;345;INFORMAL;2;26;FINANC_UNO;M
201912;346;DEPENDIENTE;1;26;IBK;F
201912;347;INFORMAL;1;51;IBK;F
201912;348;INFORMAL;1;31;FALABELLA;F
201912;349;INFORMAL;1;33;IBK;F
201912;350;INFORMAL;1;31;IBK;M
201912;351;DEPENDIENTE;1;49;IBK;M
201912;352;DEPENDIENTE;1;31;IBK;M
201912;353;INFORMAL;2;58;CENCOSUD;M
201912;354;PROFESIONAL INDEPENDIENTE;1;26;IBK;M
201912;355;DEPENDIENTE;1;34;IBK;M
201912;356;DEPENDIENTE;1;26;IBK;F
201912;357;INFORMAL;1;26;IBK;F
201912;358;INFORMAL;1;34;IBK;F
201912;359;INFORMAL;2;47;IBK;F
201912;360;INFORMAL;1;41;IBK;F
201912;361;INFORMAL;1;53;IBK;F
201912;362;PROFESIONAL INDEPENDIENTE;2;26;BBVA;M
201912;363;MICROEMPRESARIO FORMAL - INDEPENDIENTE;2;32;CENCOSUD;F
201912;364;DEPENDIENTE;2;23;BCP;F
201912;365;INFORMAL;1;25;BCP;M
201912;366;DEPENDIENTE;1;23;IBK;F
201912;367;INFORMAL;4;37;CENCOSUD;F
201912;368;DEPENDIENTE;1;25;FALABELLA;M
201912;369;INFORMAL;1;27;IBK;F
201912;370;DEPENDIENTE;2;28;BBVA;M
201912;371;PROFESIONAL INDEPENDIENTE;1;23;IBK;M
201912;372;INFORMAL;1;23;IBK;F
201912;373;INFORMAL;1;27;FALABELLA;M
201912;374;PROFESIONAL INDEPENDIENTE;2;25;FALABELLA;F
201912;375;PROFESIONAL INDEPENDIENTE;3;31;BBVA;M
201912;376;INFORMAL;2;41;BCP;M
201912;377;DEPENDIENTE;2;36;BCP;F
201912;378;DEPENDIENTE;1;25;IBK;F
201912;379;DEPENDIENTE;4;30;FALABELLA;M
201912;380;DEPENDIENTE;3;28;CENCOSUD;M
201912;381;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;33;IBK;F
201912;382;DEPENDIENTE;2;23;IBK;M
201912;383;DEPENDIENTE;4;41;FALABELLA;M
201912;384;DEPENDIENTE;1;34;IBK;M
201912;385;INFORMAL;1;34;IBK;F
201912;386;INFORMAL;1;27;IBK;F
201912;387;PROFESIONAL INDEPENDIENTE;1;27;IBK;F
201912;388;INFORMAL;2;60;IBK;M
201912;389;INFORMAL;2;35;FINANC_UNO;M
201912;390;INFORMAL;3;25;CENCOSUD;F
201912;391;INFORMAL;1;30;IBK;F
201912;392;INFORMAL;1;21;IBK;F
201912;393;DEPENDIENTE;1;27;IBK;M
201912;394;PROFESIONAL INDEPENDIENTE;2;33;FALABELLA;F
201912;395;INFORMAL;1;23;IBK;M
201912;396;DEPENDIENTE;2;28;BBVA;F
201912;397;DEPENDIENTE;2;48;IBK;F
201912;398;INFORMAL;3;49;IBK;M
201912;399;PROFESIONAL INDEPENDIENTE;3;38;BCP;F
201912;400;PROFESIONAL INDEPENDIENTE;4;24;BCP;M
201912;401;PROFESIONAL INDEPENDIENTE;4;33;IBK;M
201912;402;DEPENDIENTE;1;27;BCP;M
201912;403;PROFESIONAL INDEPENDIENTE;1;35;IBK;F
201912;404;INFORMAL;1;44;RIPLEY;F
201912;405;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;54;IBK;F
201912;406;INFORMAL;2;32;RIPLEY;F
201912;407;DEPENDIENTE;2;43;BBVA;M
201912;408;INFORMAL;1;27;IBK;F
201912;409;PROFESIONAL INDEPENDIENTE;1;51;IBK;F
201912;410;PROFESIONAL INDEPENDIENTE;1;27;BCP;F
201912;411;INFORMAL;2;38;BBVA;F
201912;412;PROFESIONAL INDEPENDIENTE;1;50;IBK;M
201912;413;INFORMAL;1;21;BCP;F
201912;414;INFORMAL;1;26;FINANC_UNO;M
201912;415;INFORMAL;1;38;IBK;F
201912;416;INFORMAL;1;22;IBK;M
201912;417;INFORMAL;1;59;IBK;M
201912;418;PROFESIONAL INDEPENDIENTE;1;43;BCP;M
201912;419;DEPENDIENTE;1;26;IBK;F
201912;420;DEPENDIENTE;1;34;IBK;F
201912;421;DEPENDIENTE;1;41;IBK;M
201912;422;PROFESIONAL INDEPENDIENTE;4;23;FALABELLA;M
201912;423;DEPENDIENTE;2;44;IBK;F
201912;424;PROFESIONAL INDEPENDIENTE;3;47;FINANC_UNO;M
201912;425;DEPENDIENTE;2;25;FINANC_UNO;F
201912;426;INFORMAL;1;36;IBK;F
201912;427;DEPENDIENTE;2;28;BBVA;F
201912;428;PROFESIONAL INDEPENDIENTE;1;48;IBK;M
201912;429;INFORMAL;1;25;IBK;F
201912;430;INFORMAL;2;26;IBK;M
201912;431;INFORMAL;3;39;CENCOSUD;F
201912;432;DEPENDIENTE;1;59;CENCOSUD;M
201912;433;PROFESIONAL INDEPENDIENTE;3;49;CREDISCOTIA;F
201912;434;INFORMAL;3;23;RIPLEY;F
201912;435;INFORMAL;1;23;IBK;M
201912;436;PROFESIONAL INDEPENDIENTE;1;29;IBK;M
201912;437;DEPENDIENTE;4;34;BCP;M
201912;438;DEPENDIENTE;1;34;IBK;F
201912;439;INFORMAL;1;48;IBK;F
201912;440;DEPENDIENTE;1;39;FALABELLA;M
201912;441;PROFESIONAL INDEPENDIENTE;4;33;BBVA;M
201912;442;INFORMAL;2;38;CENCOSUD;F
201912;443;INFORMAL;1;23;IBK;M
201912;444;INFORMAL;4;35;SCOTIA;F
201912;445;INFORMAL;3;23;CREDISCOTIA;F
201912;446;DEPENDIENTE;4;28;FINANC_UNO;F
201912;447;PROFESIONAL INDEPENDIENTE;3;36;BCP;F
201912;448;INFORMAL;3;47;FALABELLA;F
201912;449;PROFESIONAL INDEPENDIENTE;1;43;IBK;M
201912;450;PROFESIONAL INDEPENDIENTE;2;36;FALABELLA;M
201912;451;INFORMAL;2;31;BBVA;F
201912;452;DEPENDIENTE;4;51;FINANCIERO;M
201912;453;INFORMAL;1;26;IBK;F
201912;454;INFORMAL;1;44;IBK;F
201912;455;INFORMAL;1;22;IBK;F
201912;456;PROFESIONAL INDEPENDIENTE;2;22;FINANC_UNO;F
201912;457;INFORMAL;1;25;BCP;M
201912;458;INFORMAL;1;35;BCP;M
201912;459;INFORMAL;2;43;IBK;M
201912;460;PROFESIONAL INDEPENDIENTE;4;39;BCP;M
201912;461;INFORMAL;1;42;FINANC_UNO;M
201912;462;DEPENDIENTE;1;25;IBK;M
201912;463;NO LABORA;1;24;IBK;F
201912;464;DEPENDIENTE;1;44;FALABELLA;M
201912;465;INFORMAL;1;35;IBK;M
201912;466;PROFESIONAL INDEPENDIENTE;1;23;IBK;M
201912;467;INFORMAL;1;42;IBK;F
201912;468;INFORMAL;3;28;FINANC_UNO;F
201912;469;PROFESIONAL INDEPENDIENTE;1;35;BCP;F
201912;470;DEPENDIENTE;2;22;BCP;M
201912;471;DEPENDIENTE;3;44;BCP;F
201912;472;MICROEMPRESARIO FORMAL - INDEPENDIENTE;1;31;FALABELLA;M
201912;473;INFORMAL;1;53;IBK;F
201912;474;INFORMAL;2;28;FALABELLA;F
201912;475;INFORMAL;2;29;FINANC_UNO;M
201912;476;INFORMAL;1;29;IBK;F
201912;477;DEPENDIENTE;1;33;BCP;M
201912;478;DEPENDIENTE;1;28;IBK;F
201912;479;PROFESIONAL INDEPENDIENTE;1;37;IBK;F
201912;480;INFORMAL;2;38;SCOTIA;F
201912;481;DEPENDIENTE;1;23;BCP;F
201912;482;INFORMAL;2;22;IBK;F
201912;483;INFORMAL;2;40;IBK;F
201912;484;DEPENDIENTE;1;39;BCP;M
201912;485;DEPENDIENTE;1;30;IBK;M
201912;486;INFORMAL;3;53;FALABELLA;F
201912;487;DEPENDIENTE;4;29;BBVA;F
201912;488;INFORMAL;1;32;IBK;F
201912;489;DEPENDIENTE;1;31;IBK;M
201912;490;INFORMAL;1;22;IBK;M
201912;491;PROFESIONAL INDEPENDIENTE;1;22;IBK;F
201912;492;INFORMAL;1;31;CREDISCOTIA;F
201912;493;DEPENDIENTE;2;34;BBVA;M
201912;494;PROFESIONAL INDEPENDIENTE;1;44;IBK;M
201912;495;DEPENDIENTE;1;47;IBK;F
201912;496;INFORMAL;3;44;BBVA;M
201912;497;PROFESIONAL INDEPENDIENTE;1;28;IBK;M
201912;498;PROFESIONAL INDEPENDIENTE;2;31;BBVA;M
201912;499;INFORMAL;2;27;FINANC_UNO;F
201912;500;DEPENDIENTE;1;47;IBK;F
201912;501;INFORMAL;2;22;BCP;F
201912;502;DEPENDIENTE;2;23;IBK;F
201912;503;INFORMAL;1;49;IBK;M
201912;504;INFORMAL;3;31;FINANC_UNO;F
201912;505;PROFESIONAL INDEPENDIENTE;2;36;FALABELLA;M
201912;506;PROFESIONAL INDEPENDIENTE;1;31;IBK;M
201912;507;INFORMAL;4;71;BCP;M
201912;508;DEPENDIENTE;1;30;IBK;M
201912;509;DEPENDIENTE;2;42;IBK;F
201912;510;INFORMAL;2;45;BBVA;F
201912;511;PROFESIONAL INDEPENDIENTE;3;38;CREDISCOTIA;F
201912;512;DEPENDIENTE;3;31;BCP;F
201912;513;PROFESIONAL INDEPENDIENTE;4;29;BCP;M
201912;514;INFORMAL;3;63;SCOTIA;F
201912;515;INFORMAL;2;58;SCOTIA;M
